ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
446,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extensions-for-golang-1d88f951d6bd,Awesome VS Code extensions for Golang,,"Welcome back! Golang is an awesome programming language that I love to use, and VS Code is an awesome code editor your can use with Go, if you’re new to both of these, here are links to learn more information about them:",17,True,,17,Positive
447,tabnine,Medium,https://yuliet-garciapuente.medium.com/10-vs-code-extensions-you-should-have-dd59d780ed3a,10+ VS Code extensions you should have,,"Visual Studio Code is undoubtedly one of the most popular modern code editors. This free-editor will help you to write code, debugging and correct the code using IntelliSense. How? With its extensions.",17,False,,17,Positive
448,tabnine,Medium,https://saneryee-studio.medium.com/ai-self-programming-is-it-far-from-us-66e58afca3c9,"AI: Self-Programming, Is It Far From Us?","Tabnine, IntelliCode, IntelliSense, and GitHub Coilpot","Recently GitHub released an AI pair programmer — GitHub Copilot. It is available first as a Visual Studio Code(VS Code) extension. For us, you still need to submit an application now and be invited before you can try it.",17,True,,17,Positive
449,codewhisperer,Medium,https://cmani.medium.com/look-ma-i-can-run-containers-on-amazon-ecs-anywhere-on-premises-or-on-the-cloud-9e5fd1b02f74,"Look ma, I can run containers on Amazon ECS Anywhere — On-premises or on the Cloud !!",,"T
L DR: Amazon ECS Anywhere is a feature of Amazon ECS that enables you to easily run and manage container workloads on customer-managed infrastructure and is now Generally available (GA) — https://aws.amazon.com/about-aws/whats-new/2021/05/amazon-elastic-container-service-anywhere-is-now-generally-available/ !! This is now available across 23 AWS Regions (and growing)where Amazon ECS is available, including AWS India Mumbai region.",16,False,"May 31, 2021",16,Positive
450,copilot,Medium,https://kashi-ks.medium.com/copilot-x-or-tabnine-as-coding-assistant-for-js-developers-8e353eaa744f,Copilot X or Tabnine as Coding Assistant for JS Developers,,Notes from Choosing a coding assistant JS Developers,16,False,"Jun 16, 2023",16,Positive
451,ai code assistants,Medium,https://wise4rmgodadmob.medium.com/introduction-to-chatgpt-a-mind-blowing-ai-3dd507514415?source=user_profile---------1----------------------------,"Introduction to ChatGPT, a mind-blowing AI",,"ChatGPT is a language model with a large dataset developed by OpenAI, a leading AI research lab. The model architecture is based on the GPT (Generative Pre-training Transformer) and is trained on a massive amount of text data. ChatGPT aims to generate human-like text that can be used for various natural language processing tasks, such as language translation, question answering, and text summarization.",16,False,,16,Positive
452,ai code assistants,Medium,https://medium.com/@signetscience/paired-programming-redefined-the-rise-of-the-ai-code-assistants-a17536cc403,Paired Programming Redefined: The Rise of the AI Code Assistants,"Platforms like Github Copilot are reshaping models of work in software development, where AI will take over traditional programming tasks.","The practice of pairing software engineers to complete projects has been around since the early 2000s, when innovative approaches to technical work were being tried out and improved.",16,False,,16,Positive
453,ai code assistants,Medium,https://cobusgreyling.medium.com/nvidia-jarvis-virtual-assistant-with-rasa-3195dcda7b64,NVIDIA Jarvis Virtual Assistant With Rasa,And Why It Is More Accessible Than What You Think,"In order to develop a virtual assistant with a speech interface, four key elements are required. The first being Speech Recognition, also referred to Automatic speech recognition or Speech-To-Text. Hence transcribing the user",16,False,,16,Positive
454,chatgpt AND code,Medium,https://thomasdorfer.medium.com/can-chatgpt-explain-code-813ff4ca1ab0,Can ChatGPT Explain Code?,An analysis of its ability to understand and explain code using Python functions from low to high complexity,"Since OpenAI launched ChatGPT in November last year, its potential applications have been explored extensively. Within the tech community, there has been a growing interest in evaluating whether ChatGPT can assist with coding or even outperform its human counterparts. Results so far have been mixed, with a seemingly unanimous conclusion: while the tool’s abilities are impressive, it also demonstrates significant limitations.",16,True,,16,Positive
455,chatgpt AND code,Medium,https://liou28335.medium.com/gpt-can-never-replace-programmers-464083f7023b,GPT can never replace programmers,,"As a computer scientist and computer programmer with over 2 decades of experience in different software disciplines (Robotics, web dev, computer graphics, game development, system analytics), I decided to put chatGPT to the test. The technology that junior developers and computer science students fear might make them obsolete very soon.",16,False,,16,Positive
456,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extensions-for-rust-5d96ef1c3cdb,Awesome VS Code Extensions For Rust,,"Welcome back! Rust is an awesome programming language with a ton of capability, if you’re new to Rust, check out the link below to learn more about it:",16,True,,16,Positive
457,tabnine,Medium,https://kashi-ks.medium.com/what-do-we-choose-build-vs-buy-embedded-bi-for-your-product-6ac400a307af?source=post_page-----374c56017f6e----1----------------------------,What do we choose ? Build vs Buy embedded BI for your product,,CTO Dairy notes,16,False,,16,Positive
458,codewhisperer,Medium,https://cmani.medium.com/form-16-and-amazon-textract-a896badf84d1,Form 16 and Amazon Textract ..,,"T
his is that time of the year to file taxes in India, where you need to file taxes by July 31st, 2019 !! Imagine you get your Form 16 in a pdf document and you want to extract the important data elements from the document, how will you do it? Imagine you are creating an application to parse hundreds/thousands of scanned documents that have been uploaded to you, how will you do it?",15,False,"Jul 22, 2019",15,Positive
459,codewhisperer,Medium,https://dsebastien.medium.com/developassions-newsletter-midweek-links-19-7976c29e93e0,DeveloPassion’s Newsletter — Midweek Links #19,,"Hello everyone! I’m Sébastien Dubois, your host. You’re receiving this email because you signed up for DeveloPassion’s Newsletter. Thank you for being here with me ✨",15,False,"Jul 12, 2023",15,Positive
460,chatgpt AND code,Medium,https://rich-gaogle.medium.com/using-gpt-3-to-write-code-337d80b3647f,How to use ChatGPT to write code and generate websites,,Recently I’ve been testing out GPT-3 with some free credits to help me code — especially on subjects that I’m just starting to learn about. It’s really great! Here are some things I’ve tried using GPT-3:,15,False,,15,Positive
461,chatgpt AND code,Medium,https://isolutions.medium.com/what-filemaker-developers-should-know-about-chatgpt-mostly-gpt-740cf1368308,"What FileMaker Developers Should Know about ChatGPT (mostly, GPT)",,You CAN NOW Integrate FileMaker and ChatGPT,15,False,,15,Positive
462,chatgpt AND code,Medium,https://yakkomajuri.medium.com/you-probably-dont-need-to-learn-to-code-anymore-8a49cc66142e,You probably don’t need to learn how to code anymore,ChatGPT has made it much harder to convince friends they should pick up programming,"I recently got a chance to look over a friend’s ChatGPT Plus account and see some of his prompts. I’d used ChatGPT a bit but struggled to get too much value out of it, but people around me kept telling me this revolutionized how they work, write, and learn.",15,True,,15,Positive
463,copilot,Medium,https://aosolorzano.medium.com/configuring-a-ci-cd-pipeline-using-the-amazon-copilot-cli-54f3886fbfaf,Configuring a CI/CD Pipeline using the Amazon Copilot CLI.,,"Now, it’s time to automate our Timer Service application’s build and deploy process into AWS. My previous article discussed unit and integration testing using the Quarkus framework employing JUnit and Testcontainers. So now, we’ll automate that process using a CI/CD pipeline using the Amazon Copilot CLI. But before doing that, let’s review significant changes in our Timer Service runtime architecture.",15,False,,15,Positive
464,tabnine,Medium,https://danielpatnode.medium.com/essential-vs-code-extensions-16ad9a84f7f3,Essential VS Code Extensions,,Here is a list of my favorite and most used VS code extensions.,15,False,,15,Positive
465,tabnine,Medium,https://umairjibran.medium.com/customize-your-visual-studio-code-editor-6c81d46030b3,How to better customize Your Visual Studio Code Editor!,,Note: These customizations are my personal preferences based on my needs and my likes/dislikes. Please feel free to twerk them according to your need.,15,False,,15,Positive
466,ai code assistants,Medium,https://tracyrenee61.medium.com/learn-artificial-intelligence-by-coding-grundys-game-in-python-a7b1d4c3102a?source=rss-------1,Learn Artificial Intelligence by Coding Grundy’s Game in Python,,"I spend much of my time working on machine learning projects because these projects are the most frequently occurring competitions on Kaggle, a data science website owned by Google. What is important to keep in mind, however, is the fact that machine learning is just one subset of artificial intelligence. Because machine learning is part of the wider subject matter of artificial intelligence, I thought it would be a good idea if I learned more about this field.",14,True,,14,Positive
467,codewhisperer,Medium,https://cmani.medium.com/re-invent-2020-aws-container-services-announcements-5fbe65eb559f,re:Invent 2020 — AWS Container Services announcements,,"Last update: Jan 4th 2021, 10 am Indian Standard Time",14,False,,14,Positive
468,copilot,Medium,https://jamesxabregas.medium.com/i-dont-think-you-realise-that-github-copilot-is-powered-by-the-gpt-3-codex-model-so-chatgpt-isn-t-97780c22d14d,,,"I don’t think you realise that GitHub Copilot is powered by the GPT-3 Codex model so ChatGPT isn’t really competing with it. They are essentially the same thing.

That said I think GitHub Copilot and StackOverflow are complimentary tools. They aren’t really competing with each other. StackOverflow tends to be the resource that has the answer to some obscure and poorly documented framework feature. Copilot is more like autocomplete on steroids. They serve different functions.",14,False,,14,Positive
469,chatgpt AND code,Medium,https://siddharth-ram.medium.com/speeding-up-software-development-with-chatgpt-4-0-a-case-study-on-building-a-slack-app-36edf929ea99,Speeding Up Software Development with ChatGPT 4.0: A Case Study on Building a Slack App,,"I don’t write code regularly any longer. As is always the case, lack of practice always results in attrition of skills. So much has changed with the advent of Generative AI. I decided a long weekend and a desire to learn how they can help is the perfect time to tackle a problem.",13,False,,13,Positive
470,chatgpt AND code,Medium,https://johnvastola.medium.com/chatgpt-plus-vs-perplexity-which-is-the-better-ai-chatbot-b377bafc930a,ChatGPT Plus vs. Perplexity: Which Is the Better AI Chatbot?,Do you want convenience or more data?,"In the ever-evolving world of artificial intelligence, chatbots have become indispensable companions for writers, researchers, and tech enthusiasts alike. Among the numerous contenders vying for the title of “Best AI Chatbot,” two giants emerge from the shadows: ChatGPT Plus, the prodigious brainchild of OpenAI, and Perplexity, a powerful GPT-3 based chatbot.",13,True,,13,Positive
471,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extensions-for-typescript-a7078ec03bab,Awesome VS Code Extensions For Typescript,,"Welcome back! Typescript is an awesome programming language with a ton of capability, if you’re new to Typescript, check out the link below to learn more about it:",13,True,,13,Positive
472,tabnine,Medium,https://medium.com/dice-insights/tabnine-wants-to-use-machine-learning-to-speed-your-coding-34e97b3bb05,TabNine Wants to Use Machine Learning to Speed Your Coding,"Is this a good thing for developers? Or a really, really bad thing?",Can machine learning make you a better coder? That’s a question that Deep TabNine is trying to answer in the affirmative.,13,True,,13,Positive
473,copilot,Medium,https://joshblf.medium.com/how-to-quickly-test-your-next-js-apps-with-cypress-and-github-copilot-77b4c92f979e,How to quickly test your Next.js apps with Cypress and Github Copilot,,You might actually enjoy writing tests after this! Maybe.,12,True,"Feb 23, 2023",12,Positive
474,copilot,Medium,https://garystafford.medium.com/ten-ways-to-leverage-generative-ai-for-development-on-aws-c0a11145aa4d?source=rss-1c57fc47fc23------2,Ten Ways to Leverage Generative AI for Development on AWS,Explore ten ways you can use Generative AI coding tools to accelerate development and increase your productivity on AWS,"Combining the latest Generative AI coding tools with a feature-rich and extensible IDE and your coding skills will accelerate development and increase your productivity. In this post, we will look at ten examples of how you can use Generative AI coding tools on AWS:",12,True,"Apr 03, 2023",12,Positive
475,chatgpt AND code,Medium,https://cobusgreyling.medium.com/chatgpt-apis-managing-conversation-context-memory-8b100dfe544a,ChatGPT APIs & Managing Conversation Context Memory,"Currently, ChatGPT is powered by the most advanced OpenAI language models. While OpenAI has made the APIs available to these models, it does not inherently manage conversation context & memory.","Traditionally one of the challenges of chatbot development frameworks, has been managing conversation memory, also referred to as conversational context.",12,False,,12,Positive
476,chatgpt AND code,Medium,https://paulxiong.medium.com/studying-with-chatgpt-simplest-code-for-amlm-baebb03963f6?source=rss-------1,Studying with ChatGPT: Simplest Code for a MLM,,"can you manipulate a simple dataset, use it to train a MLM, don’t use pre-trained mode, I just want to learn how it will be coded.",12,False,,12,Positive
477,chatgpt AND code,Medium,https://abhishek-maheshwarappa.medium.com/chatgpt-and-python-api-58ed3eb58869,ChatGPT and Python API,,How to use ChatGPT with Python API,12,False,,12,Positive
478,copilot,Medium,https://medium.com/coding-at-dawn/make-github-copilot-way-better-with-these-two-vs-code-settings-842775ba82f7,Make GitHub Copilot Way Better With These Two VS Code Settings,"Despite both being manufactured by Microsoft, VS Code and GitHub Copilot don’t play well together. Here’s what to do.","You may already know that I’m secretly a big fan of GitHub Copilot, even though most of its code suggestions are wildly inaccurate and useless.",11,True,"Nov 23, 2022",11,Positive
479,copilot,Medium,https://walkingriver.medium.com/using-ai-in-software-development-c382c43c7db9,Using AI in Software Development,How AI tools like GitHub Copilot and ChatGPT can radically transform your development workflow,"I first heard about GitHub Copilot in mid-2022. I was intrigued by the idea that someone trained an Artificial Intelligence (henceforth “AI”) model from the source code inside every public GitHub repo. Further, that once the model had been trained, it could essentially understand my source code and make suggestions in real time. If this were real, I had to try it.",11,True,"Mar 04, 2023",11,Positive
480,copilot,Medium,https://gdams.medium.com/when-ai-meets-java-hilarious-misadventures-with-chatgpt-and-github-copilot-cd260f821d3e,When AI Meets Java: Hilarious Misadventures with ChatGPT and GitHub Copilot,,"Java developers, prepare for a wild ride! AI-powered tools like ChatGPT and GitHub Copilot are here to spice up your coding experience. While they can be incredibly helpful, they sometimes lead us down a rabbit hole of hilariously wrong code suggestions. In this blog post, we’ll explore the lighter side of AI in Java development and share some laugh-out-loud examples of when things didn’t go quite as planned.",11,False,"Apr 18, 2023",11,Positive
481,copilot,Medium,https://vlad-rad.medium.com/github-copilot-security-conserns-d4209f0d5c28?source=author_recirc-----77b23f44f2----0---------------------69c5d55d_5dd1_4cf2_a3fe_b1b6013742a1-------,GitHub Copilot security concerns,,"Github Copilot and other AI pair tools have the ability to generate code in a variety of programming languages. These ML and NLP based solutions became very popular in less than a year. Nowadays, it’s not just assistant. Copilot-like tools are used in many scenarios:",11,False,"Apr 22, 2023",11,Positive
482,ai code assistants,Medium,https://life2.medium.com/chatgpt-vs-notion-ai-fight-631c47050295,ChatGPT v. Notion AI: Fight!,"Which AI assistant reigns supreme in brainstorming, summarising, and creative writing? Find out in this showdown!","So, you might have heard of ChatGPT from OpenAI, the most famous text-based AI out there. But did you know that Notion, the awesome writing and note-taking app, also has its own AI assistant built-in?",11,True,,11,Positive
483,ai code assistants,Medium,https://medium.com/@openaether/discovering-the-brilliance-the-game-changing-impact-of-chatgpt-on-ai-306acf47b9d,Discovering the Brilliance: The Game-changing Impact of ChatGPT on AI,Learn about the transformative power of ChatGPT as we reveal its genius and explore its revolutionary capabilities in this informative blog post. Discover how artificial intelligence is shaping the future with ChatGPT and how it has the potential to reshape industries and improve human-machine interactions.,Greetings to all my dear friends who enjoy engaging in conversations! I am thrilled to invite you on a fascinating journey of discovering the intricacies of AI-powered discussions.,11,True,,11,Positive
484,ai code assistants,Medium,https://medium.com/keleno/ai-assisted-coding-top-5-coding-assistants-8cc4558cb1d9,AI assisted coding — Top 5 coding assistants,,"AI-assisted coding aims to help you as a developer be more productive, write code faster, make fewer mistakes, and switch between windows and your IDE less frequently. Is AI-assisted coding, however, a solution, a scam, or anything in between?",11,False,,11,Positive
485,chatgpt AND code,Medium,https://nick-nolan.medium.com/how-i-used-chatgpt-to-add-a-applet-to-my-website-11821accf8d5,How I Used ChatGPT To Add a Applet to My Website,,One of the greatest use cases of ChatGPT is its ability to write code.,11,True,,11,Positive
486,chatgpt AND code,Medium,https://promptpro.medium.com/revolutionizing-ai-interactions-with-chatgpt-4-code-interpreter-8b42ac86578b?source=rss------technology-5,Revolutionizing AI Interactions With ChatGPT-4 Code Interpreter,"We Look Into ChatGPT-4's, New , Jaw-Dropping Feature Release","As
we stand on the cutting edge of the AI revolution, OpenAI’s language model, ChatGPT, continues to amaze us with its evolutionary steps. Its latest addition, the Code Interpreter plugin, marks another leap forward, enhancing the way we interact with AI. In this article, we will explore this innovative plugin, delve into its functionalities, and provide illustrative examples of its capabilities.",11,True,,11,Positive
487,chatgpt AND code,Medium,https://gaganbajaj.medium.com/generative-ai-a-utility-to-unleash-the-power-of-openais-gpt-3-for-code-analysis-a4bcabf502b9,A Utility to Unleash the Power of OpenAI’s GPT-3 for Code Analysis,,"In our previous discussion Augment Code Analysis process With Generative AI (ChatGPT) , we explored the ease and efficiency of using ChatGPT for code analysis and review. We saw how ChatGPT can quickly generate improved versions of code, which has the potential to revolutionize the way software engineers work today. This development is a significant advancement in the field, and its impact on the industry could be profound.",11,False,,11,Positive
488,chatgpt AND code,Medium,https://medium.com/@neonforge/chatgpt-for-developers-how-to-comment-and-refactor-your-code-and-generate-readme-files-324f4e742490,ChatGPT for Developers: How to Comment and Refactor Your Code and Generate README Files,,"Welcome to my article on how to use ChatGPT to comment and refactor your code, as well as how to generate README files. As a developer, I understand the importance of well-written and organized code, as well as the need for clear and informative documentation. That’s why I’m excited to share with you how ChatGPT can assist in these tasks, making your workflow more efficient and effective.",11,True,,11,Positive
489,chatgpt AND code,Medium,https://lyvennithasasikumar.medium.com/chatgpt-for-generating-swiftui-code-6cb9e3301612,ChatGPT For Generating SwiftUI Code,"Hey Guys! Introducing ChatGPT, an AI chatbot with a ton of features that everyone is raving about. An artificial intelligence tool by OpenAI lets you type natural language questions, and a chatbot answers them in a conversational manner. Based on previous questions and answers, the bot learns how to respond to your next question. Using vast quantities of information found on the internet, its answers are generated.","In November 2022, OpenAI released ChatGPT, which is an AI chatbot that shows off the capabilities of a very large, powerful AI system. There are dozens of questions that can be asked to it, and many times it will provide an answer that will be helpful. In SwiftUI, I’m using this chatgpt for generating a basic list of users. Let’s see what we can do.",11,False,,11,Positive
490,codewhisperer,Medium,https://medium.com/@devendermishra/my-experience-with-code-whisperer-f4e4f9003ffc,My Experience With Code Whisperer,,"Last week, I signed up for Amazon CodeWhisperer (referred as CW onwards) Preview. Being a developer, I am very excited to see the tools like Github Copilot and CW.",11,False,,11,Positive
491,copilot,Medium,https://richard-a-brown.medium.com/microsoft-dynamics-copilot-973b17d1e02b,Microsoft Dynamics Copilot,New Tool Coming for Microsoft Dynamics,"In a recent article on TechCrunch, Kyle Wiggers reported on AI powered assistant for business leaders. The article delves into the benefits of Copilot and highlights the implications for business leaders. This summary will provide a brief overview of Wiggers’ article and explore its significance in more detail.",11,True,,11,Positive
492,tabnine,Medium,https://smoothdvd.medium.com/make-tabnine-work-great-again-on-apple-silicon-m1-f889f728ca53,Make Tabnine Great Again on Apple M1 Chip,,"Microsft has released Visual Studio Code Insider version which supports Apple M1 chip after Apple announced new MacBook Air, Macbook Pro and Mac mini supercharged by Apple M1 chip.",11,False,,11,Positive
493,codewhisperer,Medium,https://cmani.medium.com/building-and-running-a-donkeycar-in-bangalore-my-journey-so-far-part-1-ea28177694d2,Building and Running a DonkeyCar in Bangalore — my journey so far — Part 1,,TLDR:,10,False,"Sep 04, 2018",10,Positive
494,codewhisperer,Medium,https://cmani.medium.com/would-you-like-to-have-corretto-with-that-345c15db3073,Would you like to have “Corretto” with that?,,"Yep, I would like to have Amazon Corretto with my Java app running on AWS Fargate ;-)",10,False,"Feb 03, 2019",10,Positive
495,copilot,Medium,https://kyleake.medium.com/everything-you-need-to-know-about-bing-microsoft-ai-your-ai-powered-answer-engine-5e2d39e7762a,Everything You Need To Know About Bing ❤ Microsoft AI: Your AI-Powered Answer Engine,Search hasn’t been significantly disrupted for 20 years. These latest developments will change the game with this AI-powered copilot for the web,"Satya Nadella has officially announced OpenAI’s GPT integration in Microsoft’s search engine, Bing. Search hasn’t been significantly disrupted for 20 years. These latest developments will change the game with this AI-powered copilot for the web. This makes Bing even stronger!",10,True,"Feb 21, 2023",10,Positive
496,ai code assistants,Medium,https://brand-minds.medium.com/human-virtual-relationships-from-assistants-to-companions-48f3fcd584ee,Human virtual relationships: from assistants to companions,,A virtual assistant is essentially an app that lets users ask questions or give commands using their natural language program.,10,False,,10,Positive
497,ai code assistants,Medium,https://vaiotltd.medium.com/10-things-you-should-know-about-vaiot-aa989e2247,10 Things You Should Know About VAIOT,,"Hey VAIOTeers🙋‍♀️,",10,False,,10,Positive
498,chatgpt AND code,Medium,https://sredmond.medium.com/how-well-can-chat-gpt-create-code-17a031af733b,How well can ChatGPT Create Code?,,"There’s been a lot of buzz around ChatGPT since its initial release. In an earlier article, I tested how well ChatGPT could re-create one of my articles. Surprisingly, it did a decent job but left out a lot of critical explanations. In this article, I wanted to do something similar. I want to see how well ChatGPT can create code. I’m going to test it on web development, specifically. We’re going to see if it can create an entire website for us and how much detail we can get it to put into that website.",10,True,,10,Positive
499,chatgpt AND code,Medium,https://viveknaskar.medium.com/finally-chatgpt-has-a-competition-and-its-google-s-bard-612f92c290fb?source=author_recirc-----12e766b19c16----2----------------------------&responsesOpen=true&sortBy=REVERSE_CHRON,"Finally, ChatGPT Has A Competition And It’s Google’s Bard","The best thing about Bard is its ability to access the Internet, which ChatGPT cannot.",It also allows the users to export the response to Google Docs or Gmail.,10,True,,10,Positive
500,codewhisperer,Medium,https://medium.com/@bakshiharsh55/introducing-amazon-codewhisperer-your-ai-code-generator-6bab747d5777?source=rss-------1,Introducing Amazon CodeWhisperer: Your AI Code Generator,,[ad_1],10,False,,10,Positive
501,copilot,Medium,https://medium.com/ngconf/fun-with-github-copilot-6-sample-data-3ff40fa5de46,Fun with GitHub Copilot #6 (Sample Data),Never Lack Sample Data for Your Apps,"So far, in my prior experiments and articles on GitHub Copilot, I have been mainly focused on how well it handles algorithms, language syntax, framework specifics, and even shell scripting.",10,True,,10,Positive
502,tabnine,Medium,https://medium.com/freethreads/how-to-reduce-cpu-of-tabnine-autocomplete-in-golang-vscode-ba54c627e22a,How to Reduce CPU of TabNine AutoComplete in Golang + VSCode,,TabNine Autocomplete is an essential plugin for VSCode. I use it for Golang development and have been very happy with the free version.,10,True,,10,Positive
503,tabnine,Medium,https://preettheman.medium.com/awesome-vs-code-extensions-for-golang-8186896cca2f,Awesome VS Code Extensions For Golang,,"Welcome back! Golang is one of the best programming languages to learn in 2022, if you’re new to Golang, check out the link below to learn more about it:",10,True,,10,Positive
504,tabnine,Medium,https://bootcampai.medium.com/es-github-copilot-una-bendici%C3%B3n-o-una-maldici%C3%B3n-2cfd4a6efbdd,¿Es GitHub Copilot una bendición o una maldición?,,Traducción: https://www.fast.ai/2021/07/19/copilot/,10,False,,10,Positive
505,copilot,Medium,https://grahamwaters.medium.com/github-copilot-primer-part-1-1bf75bfad7cd,GitHub Copilot — Primer Part 1,Augmented Code Generation with Modern Tools,"G
itHub Copilot is a new AI-powered code completion tool designed to help developers write code more efficiently. It is now available as a plugin for VS Code, which can be easily integrated into your existing coding workflow.",9,True,"Jan 11, 2023",9,Positive
506,ai code assistants,Medium,https://jackkrupansky.medium.com/some-brief-notes-on-artificial-intelligence-ai-1aaadee11a53?source=rss-------1,Some Brief Notes on Artificial Intelligence (AI),,"Artificial intelligence (AI) is a very rich and complex field, but a very few brief notes can help to dramatically simplify navigation of the field. Or at least allow the reader to feel that they can navigate the field, or at least feel a lot less intimidated by the field.",9,False,,9,Positive
507,ai code assistants,Medium,https://asadali047.medium.com/how-ai-powered-programming-may-revolutionize-all-jobs-in-the-future-ea7dfc5f4e94,,,How AI-Powered programming may revolutionize all jobs in the future?,9,False,,9,Positive
508,chatgpt AND code,Medium,https://danielaantoniavalenzuelamuoz.medium.com/how-i-learned-to-code-in-python-within-a-week-yes-using-chatgpt-3-5-51f17d1865b5,"How I learned to code in Python within a week - (Yes, using ChatGPT-3.5)",,"Enhancing your skills and capabilities is something that artificial intelligence can help you achieve, and as such, it happened in my case by using ChatGPT-3.5. I learned to code in Python in less than a week. With a specific challenge in mind, I decided to switch from R studio to Python.",9,False,,9,Positive
509,chatgpt AND code,Medium,https://open-data-analytics.medium.com/5-things-chatgpt-code-interpreter-cannot-do-for-now-2ac65a6f7f9d,"5 Things ChatGPT Code Interpreter Cannot Do, For Now",,"Everyone’s singing praises for the new kid on the block, ChatGPT Code Interpreter — OpenAI’s latest masterpiece, the AI sensation that’s supposedly going to “make Data Scientists as a profession obsolete”. So, I bought into the hype, rushed to ChatGPT Code Interpreter first-hand, and gave it a quick try, hoping it will be a bang rather than a whimper.",9,False,,9,Positive
510,codewhisperer,Medium,https://medium.com/it-books/book-review-the-ai-powered-developer-by-nathan-b-crocker-5540d36aed89,Book Review: The AI-Powered Developer by Nathan B. Crocker,A preliminary review of the book The AI-Powered Developer by Nathan B. Crocker on how to use generative AI tools to assist you in your journey as a developer,"In the generative AI era, updating yourself on tools such as ChatGPT, GitHub Copilot, and Amazon CodeWhisperer is almost mandatory.",9,False,,9,Positive
511,copilot,Medium,https://mitchjackson.medium.com/lawdroid-ai-copilot-for-lawyers-fd40898a2346?source=rss-------1,Lawdroid AI Copilot for Lawyers,,"Introducing Lawdroid’s Copilot, the revolutionary AI-powered legal assistant designed specifically for attorneys. Copilot streamlines your legal practice by utilizing cutting-edge AI technology to research cases, explore legal issues, craft persuasive emails and letters, strategize innovative ideas, and condense documents with ease.",9,False,,9,Positive
512,copilot,Medium,https://d-hanshew.medium.com/playing-with-github-copilot-8525c30b108c?source=rss------programming-5,Playing with Github Copilot,,"I’ve been meaning to try out the super hyped GitHub Copilot. For those who aren’t informed, Copilot is a tool that auto fills code based on what’s available on Github using AI. Now this tool won’t build an entire project from the bottom up or design things out for you, at least not yet anyways.",9,True,,9,Positive
513,codewhisperer,Medium,https://cmani.medium.com/getting-more-m%CC%B6i%CC%B6l%CC%B6e%CC%B6a%CC%B6g%CC%B6e%CC%B6-pod-age-out-of-your-amazon-eks-cluster-5433db39eeaa,Getting more m̶i̶l̶e̶a̶g̶e̶ “pod-age” out of your Amazon EKS cluster !!,,Update: September 13th 2021 — There is also an official AWS blog which covers this in more detail — https://aws.amazon.com/blogs/containers/amazon-vpc-cni-increases-pods-per-node-limits/,8,False,"Aug 10, 2021",8,Positive
514,codewhisperer,Medium,https://cmani.medium.com/amazon-kendra-redux-large-language-model-edition-to-crack-the-cbse-12th-physics-exam-2cbfcbba6d78,Amazon Kendra redux — Large Language Model edition to crack the CBSE 12th physics exam ;-),,"T
ime flies .. It was in 2020, and I had just got my hands onto Amazon Kendra, it was peak covid, and our eldest daughter was in 10th grade of school and this was a deadly combination to try using Kendra for this dad-daughter use-case 😃 So, I wrote this personal blog which leveraged Kendra to answer questions for Physics !! I updated my blog last year to indicate the evolution of Kendra with the addition of new features and availability in the AWS Mumbai region ..",8,False,"May 11, 2023",8,Positive
515,copilot,Medium,https://beytullahsoylev.medium.com/copilot-for-data-atlan-ai-e9901584c9c0,Copilot for Data : Atlan AI,,"A
tlan AI is a first-of-its-kind AI-powered copilot for data teams. It helps data teams document data assets, explore data with natural language, and answer any question about their data stack.",8,False,"Jun 16, 2023",8,Positive
516,ai code assistants,Medium,https://medium.com/@nhshinwari21/empower-your-coding-with-these-18-artificial-intelligence-coding-assistant-tools-a5d6834964e5,Empower Your Coding with these 18 Artificial Intelligence Coding Assistant Tools,Ai Coding Assistants,"1.
Codeium is an AI-powered code acceleration toolkit designed to help software developers work more efficiently. With easy integration into various code editors, Codeium provides features like natural language coding, boilerplate coding minimization, API discovery and usage, unit test generation, and more. These features are aimed at helping developers focus on the important aspects of coding and reducing the time spent on mundane or repetitive tasks. Codeium has been trusted by some of the top universities and companies such as Caltech, Carnegie Mellon University, Harvard, MIT, Stanford, UCLA, Adobe, Dropbox, IBM, Meta, Pinterest, Salesforce, Slack, and Tesla.",8,True,,8,Positive
517,ai code assistants,Medium,https://medium.com/datadriveninvestor/ive-tried-chatgpt-plugins-here-are-the-best-e765f5ae96fd,I’ve Tried ChatGPT Plugins. Here Are The Best!,,"In recent years, artificial intelligence (AI) has revolutionized the way we interact with technology. Chatbots, in particular, have become increasingly popular for enhancing customer service, providing instant responses, and automating repetitive tasks. One of the leading AI language models, ChatGPT, has gained significant attention for its capabilities. To make the most of this powerful tool, developers have created various plugins to extend its functionalities. In this article, we will explore the best ChatGPT plugins that can supercharge your AI-powered applications and take them to the next level.",8,True,,8,Positive
